#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1,-218.70676465619434,264.8561247382309,0.020780882334166598
2,-204.6871699294348,183.99903987675262,0.020780882334166598
3,-197.79608148771945,140.84231144060735,0.020780882334166598
4,-202.76965899437658,169.94889682710388,0.020780882334166598
5,-211.7563174285385,219.83593883233215,0.020780882334166598
6,-213.26111162695656,227.50111079145768,0.020780882334166598
7,-206.33864929116686,191.31003006134017,0.020780882334166598
8,-199.6132484057629,156.16269425266367,0.020780882334166598
9,-200.89564888492362,164.5857481532903,0.020780882334166598
10,-208.02500843697567,206.99122297088806,0.020780882334166598
11,-212.51292223490515,237.88996867043278,0.020780882334166598
12,-209.31500654026502,222.5189962873233,0.020780882334166598
13,-202.90755937620796,189.19722430732762,0.020780882334166598
14,-202.22683245171734,187.14647285611545,0.020780882334166598
15,-208.81350085360353,222.6798168505894,0.020780882334166598
16,-216.2218216157556,275.4753593122431,0.020780882334166598
17,-216.196983558912,271.44569420792726,0.020780882334166598
18,-207.87654678934908,219.8678550742307,0.020780882334166598
19,-199.7263369290957,166.96160163806826,0.020780882334166598
20,-198.92730227209324,154.22615844769507,0.020780882334166598
21,-204.38237068053826,190.49593682756463,0.020780882334166598
22,-209.06778415527944,221.60530876294186,0.020780882334166598
23,-209.32485664006782,231.47636224523953,0.020780882334166598
24,-205.9928968107854,202.36870640941888,0.020780882334166598
25,-202.17897382409524,189.81391385828252,0.020780882334166598
26,-200.4412393801739,185.9286839752785,0.020780882334166598
27,-201.49671614848313,193.7613482839229,0.020780882334166598
28,-203.67319137006885,208.44483440052676,0.020780882334166598
29,-205.6548199424146,221.17495169848223,0.020780882334166598
30,-206.20023789489554,222.62908385750507,0.020780882334166598
31,-206.54509213174333,218.45761892256309,0.020780882334166598
32,-206.73517446291285,225.32293789584787,0.020780882334166598
33,-207.09568224151144,221.50383494179184,0.020780882334166598
34,-207.1450600020741,215.24001701498761,0.020780882334166598
35,-205.31174807513523,200.01391834915202,0.020780882334166598
36,-200.83123606668786,174.38642153415464,0.020780882334166598
37,-197.53802648794874,156.07106478127255,0.020780882334166598
38,-199.39538986396803,168.9268063818668,0.020780882334166598
39,-205.91107674142032,208.19147333346854,0.020780882334166598
40,-212.02956806023948,241.2459390911827,0.020780882334166598
41,-212.64072029140837,254.11184833801514,0.020780882334166598
42,-207.37541742395896,224.4138059214268,0.020780882334166598
43,-200.6013048304954,195.78032933991645,0.020780882334166598
44,-198.19055562186833,182.1408316768458,0.020780882334166598
45,-201.35540442015593,205.45371357233196,0.020780882334166598
46,-206.2025558064266,233.33410385770176,0.020780882334166598
47,-208.18025697573998,240.83081414053825,0.020780882334166598
48,-205.13048711949327,224.36974004345683,0.020780882334166598
49,-200.56327449223565,192.21871706993485,0.020780882334166598
50,-199.0593304323976,181.21222196387478,0.020780882334166598
51,-201.66896783096087,202.2390715196656,0.020780882334166598
52,-204.782115971257,230.25216238829066,0.020780882334166598
53,-203.1970655520791,219.30366184728274,0.020780882334166598
54,-199.28610073415922,185.71012530768718,0.020780882334166598
55,-199.81236713380994,192.37513746660645,0.020780882334166598
56,-206.80823600208728,237.64041555445542,0.020780882334166598
57,-213.35319729110284,274.36921257595907,0.020780882334166598
58,-212.39141954423155,272.9605609057447,0.020780882334166598
59,-203.95902448002875,219.7817164627759,0.020780882334166598
60,-195.561472693605,165.80998757703276,0.020780882334166598
61,-195.1633068351302,166.35514582639047,0.020780882334166598
62,-202.7183057877532,214.11542349486533,0.020780882334166598
63,-209.96873546128086,251.55349520384001,0.020780882334166598
64,-208.47052659699156,247.4233694191591,0.020780882334166598
65,-198.1643581338687,198.93123418325087,0.020780882334166598
66,-189.54642287597457,141.16435209499883,0.020780882334166598
67,-191.2663407502051,148.87101065677766,0.020780882334166598
68,-200.9915125215368,208.61342482198916,0.020780882334166598
69,-208.6984891174931,255.03212073040876,0.020780882334166598
70,-207.02138032659215,250.31410299603917,0.020780882334166598
71,-199.95380595921986,198.8229789104707,0.020780882334166598
72,-196.66418112044602,183.77706606474206,0.020780882334166598
73,-202.56173089390072,213.7823437602509,0.020780882334166598
74,-211.91562118691323,277.1341372308043,0.020780882334166598
75,-213.50618592063515,295.09757582744055,0.020780882334166598
76,-203.00356921375325,240.05965996832703,0.020780882334166598
77,-190.28169344357528,159.8236317492944,0.020780882334166598
78,-187.9908091673663,148.12222372974745,0.020780882334166598
79,-197.82337785340934,210.06060408890175,0.020780882334166598
80,-208.35966995416658,287.83106639400717,0.020780882334166598
81,-207.26246591862167,269.41372304011657,0.020780882334166598
82,-195.37696996700862,202.99455275456134,0.020780882334166598
83,-186.47038948975344,153.18521204802636,0.020780882334166598
84,-190.09453093267055,178.66632002999123,0.020780882334166598
85,-203.1047864950094,245.59195184533863,0.020780882334166598
86,-212.42870792499684,299.5324414089181,0.020780882334166598
87,-208.88032107227997,275.2543195037769,0.020780882334166598
88,-198.0805527619351,211.36567360682673,0.020780882334166598
89,-192.99251046477764,184.72977022228613,0.020780882334166598
90,-199.6627417094825,217.88192153328978,0.020780882334166598
91,-208.12748389264848,259.0172878471013,0.020780882334166598
92,-208.11672313074587,254.9137128892864,0.020780882334166598
93,-199.5171626967928,201.52744702109356,0.020780882334166598
94,-191.30529384876948,149.39557321413812,0.020780882334166598
95,-192.36721328976452,158.59138987200527,0.020780882334166598
96,-200.24479317832646,207.98715431147357,0.020780882334166598
97,-206.31373291094232,251.06750720646815,0.020780882334166598
98,-204.2037865631575,236.8299707044386,0.020780882334166598
99,-196.86194598849093,188.81978460445,0.020780882334166598
100,-193.43662507485692,167.43789695927427,0.020780882334166598
101,-197.28943331324353,190.9120786191645,0.020780882334166598
102,-202.84389422891007,220.58330388987764,0.020780882334166598
103,-203.86332178994107,225.92350670812326,0.020780882334166598
104,-200.99391751369924,207.278137793157,0.020780882334166598
105,-197.4123277864571,184.8065935113816,0.020780882334166598
106,-196.31555519475089,173.2751391226654,0.020780882334166598
107,-198.20425688422537,181.3639746806183,0.020780882334166598
108,-201.53559513815387,203.16383054190882,0.020780882334166598
109,-202.6928273069792,214.1901247359007,0.020780882334166598
110,-199.8209054525601,202.8117940459145,0.020780882334166598
111,-195.4634753956934,175.68078208132556,0.020780882334166598
112,-193.63540990463173,162.86188246361783,0.020780882334166598
113,-195.42940961254058,170.38802548864336,0.020780882334166598
114,-200.24037282508823,198.13566828436961,0.020780882334166598
115,-204.14401250264663,225.7639814743473,0.020780882334166598
116,-204.45994710523394,231.3659137769701,0.020780882334166598
117,-200.3311630491703,206.90079816599373,0.020780882334166598
118,-196.46166517980578,179.5742147667165,0.020780882334166598
119,-197.5373229829255,185.7582134691374,0.020780882334166598
120,-202.49157559108502,210.90930924160475,0.020780882334166598
121,-205.1855714401977,226.30864491154142,0.020780882334166598
122,-201.88855776450265,199.2232921344758,0.020780882334166598
123,-195.39165737796043,157.85886547339928,0.020780882334166598
124,-192.3726161909059,134.44360110592774,0.020780882334166598
125,-196.13470132441657,161.63922962567923,0.020780882334166598
126,-203.6405650115356,206.4844702322742,0.020780882334166598
127,-206.80678744194086,240.48733595203612,0.020780882334166598
128,-201.7476811232548,196.12268351421633,0.020780882334166598
129,-194.48442464839465,154.58578828896952,0.020780882334166598
130,-194.45342105294412,158.95545464587178,0.020780882334166598
131,-202.1539995382698,203.47639094666738,0.020780882334166598
132,-208.8689321391091,241.7607011222323,0.020780882334166598
133,-207.37786056093896,234.40545822892932,0.020780882334166598
134,-199.38608477872802,190.64545189489218,0.020780882334166598
135,-193.61742775882306,154.88920560435596,0.020780882334166598
136,-195.9309438439629,164.46315940631314,0.020780882334166598
137,-203.02567669786745,205.44220235567602,0.020780882334166598
138,-205.99637944891265,223.14837053409315,0.020780882334166598
139,-200.46182339700079,189.18983626301505,0.020780882334166598
140,-191.84692688084428,135.15593504915395,0.020780882334166598
141,-191.18657622850816,131.83895319557595,0.020780882334166598
142,-199.98503217699536,178.0431616134564,0.020780882334166598
143,-208.26573979765595,222.0013114478712,0.020780882334166598
144,-208.60404684707834,220.9098615927537,0.020780882334166598
145,-201.84683275320123,182.5539566544634,0.020780882334166598
146,-195.84590427452605,144.7161719395138,0.020780882334166598
